Date,FVOL,CRSP Market
2018-05-22,0.0009227489955536745,-0.0040999999999999
2018-05-23,0.0011780370250358042,0.003
2018-05-24,0.0012427457385971305,-0.0015
2018-05-25,0.00023875389041342018,-0.0021
2018-05-29,-0.001930775634564207,-0.0102
2018-05-30,-0.002215325394201032,0.0132
2018-06-01,-0.003820266937305284,0.0107
2018-06-04,-0.003771034028799248,0.0049
2018-06-05,-0.0033597953204538137,0.0017
2018-06-06,-0.003222514663084993,0.0087
2018-06-07,-0.002823223692957259,-0.0013
2018-06-08,-0.0037370334464768267,0.0032
2018-06-11,-0.0021751394946679654,0.0013
2018-06-12,-0.0014850748582084475,0.0024
2018-06-13,-0.001944405536103513,-0.0032
2018-06-14,-0.0018640049490746661,0.0029
2018-06-15,-0.0029657154940218537,-0.0006
2018-06-18,-0.0020272276576260477,-0.0008
2018-06-19,-0.0023509597664676334,-0.0037
2018-06-20,-0.0021876655656604613,0.0024
2018-06-21,-0.0020485100359821347,-0.0072
2018-06-22,0.0003404663794322211,0.0012
2018-06-25,0.0003934295195110932,-0.0147
2018-06-26,0.0005949230627880153,0.0028
2018-06-27,0.0003740676494707811,-0.0101
2018-06-28,0.00041285157509625815,0.0059
2018-06-29,0.00017389673884702576,0.0006999999999999
2018-07-02,0.0004592480859219163,0.0037
2018-07-03,-0.04576125853365846,-0.0043
2018-07-05,-0.051211553966623184,0.0088
2018-07-06,-0.002274160689053917,0.0089
2018-07-09,-0.0005560814434747042,0.0094
2018-07-10,-0.0010162393068303595,0.0022
2018-07-11,-0.00014700857211637892,-0.0069
2018-07-12,0.0003975286072153011,0.0086
2018-07-13,-0.0009589631396483427,0.0009
2018-07-16,-0.0002557063055947246,-0.0015
2018-07-17,-0.0013817277127616484,0.0049
2018-07-18,-0.0006222048040385616,0.0027
2018-07-19,-0.0010059154796287079,-0.0033
2018-07-20,-0.0010065829523001398,-0.0009
2018-07-23,-0.0006147695658373966,0.0017
2018-07-24,0.00035498453056609966,0.0023
2018-07-25,5.061647445567715e-05,0.0084
2018-07-26,0.00011531474322129165,-0.002
2018-07-27,0.0003773916144285845,-0.0081
2018-07-30,-0.0002260430966400361,-0.0069
2018-07-31,-0.0008870186447125976,0.0052
2018-08-01,-0.0002275469823300134,-0.0012
2018-08-02,2.2551971258701837e-05,0.0068
2018-08-03,-0.0006392371232145728,0.0032
2018-08-06,0.00010107441741002437,0.0047
2018-08-07,-0.00013995178401110994,0.003
2018-08-08,-0.00027321796990249585,-0.0003
2018-08-09,-0.0005512686583071928,-0.0004
2018-08-10,-0.00013741737111283589,-0.0059
2018-08-13,0.000626661435733328,-0.0045
2018-08-14,0.00031789100433794254,0.0069999999999999
2018-08-15,-0.00013898586574124068,-0.009
2018-08-16,-0.00019443104946227486,0.0087
2018-08-17,-0.0012634207456157383,0.0031
2018-08-20,-0.0006205364818417546,0.0026
2018-08-21,-0.0004796842362467784,0.0034
2018-08-22,-0.00024795022498709616,0.0006
2018-08-23,7.038487040541067e-05,-0.0018
2018-08-24,-0.00011485972970675186,0.0063
2018-08-27,2.1463778749407185e-05,0.0075
2018-08-28,0.0007601847507655872,0.0
2018-08-29,0.0012665538638153354,0.0057
2018-08-30,0.0009075630840241003,-0.004
2018-08-31,4.180687897313997e-05,0.0009
2018-09-04,0.00031459457557342114,-0.001
2018-09-05,0.0005310772172563242,-0.004
2018-09-06,0.0005698877916634266,-0.0043
2018-09-07,0.00048186440727234593,-0.0017
2018-09-10,-0.0005693758981555473,0.0024
2018-09-11,0.0002298470212881393,0.0038
2018-09-12,-0.000511471650728503,0.0004
2018-09-13,0.0010460599128705441,0.0046
2018-09-14,0.0006978255883210954,0.0013
2018-09-17,0.00030537026418438196,-0.0070999999999999
2018-09-18,-0.00012884760574788224,0.0058
2018-09-19,0.000264370361804745,0.0006
2018-09-20,0.000182535020838361,0.0078
2018-09-21,3.0275621931030727e-05,-0.0012
2018-09-24,-0.0007644978075685241,-0.003
2018-09-25,-0.0011884231814720458,-0.0004
2018-09-26,-0.0007735137218603882,-0.0039
2018-09-27,-0.0014244790784156368,0.0028
2018-09-28,-0.00046746096542683396,-0.0001999999999999
2018-10-01,-0.001293043967340709,0.0017
2018-10-02,-0.0011095469137106702,-0.002
2018-10-03,-0.001421789199523685,0.0021
2018-10-05,-0.00017959771323647653,-0.0063
2018-10-08,-9.356110527350337e-05,-0.0017
2018-10-09,0.00011469273307677979,-0.0017
2018-10-10,0.0007193795289361193,-0.0332
2018-10-11,-0.0011343081544176374,-0.0195
2018-10-12,-0.0033169638022139836,0.0139999999999999
2018-10-15,-0.0036232385205110557,-0.0046999999999999
2018-10-16,-0.003539759753275166,0.0226
2018-10-17,-0.002712768089181952,-0.0008
2018-10-18,-0.0026760416994011994,-0.0153
2018-10-19,-0.0028190713425746434,-0.0023
2018-10-22,-0.003229616329604289,-0.0037
2018-10-23,-0.0024675981955657946,-0.0060999999999999
2018-10-24,-0.0034142739197985314,-0.0332
2018-10-25,-0.0018452410761589928,0.0194
2018-10-26,-0.0028243294988344087,-0.0163999999999999
2018-10-29,-0.0013751225332417115,-0.0075
2018-10-30,-0.0009013303535147785,0.0167
2018-10-31,-0.0013400348651535995,0.0121999999999999
2018-11-01,-0.0005851293859016362,0.013
2018-11-02,-0.0002814396677242777,-0.0052
2018-11-05,-0.001284688851812457,0.0041
2018-11-06,-0.0012708643165412511,0.0058
2018-11-07,-0.0005901732176760757,0.0213
2018-11-08,-0.001451661589691881,-0.0027
2018-11-09,-0.00032644641054723,-0.0103
