,FSKEW,CRSP Market
2001-04-01,1.0,1.0
2001-04-02,0.9930494141692245,0.9841
2001-04-03,0.9886192310711935,0.94798353
2001-04-04,0.9849720049772379,0.944570789292
2001-04-05,0.9808671534820784,0.9888711593097947
2001-04-06,0.977992245061683,0.968599300543944
2001-04-09,0.9730341563673177,0.9770261144586763
2001-04-10,0.9708631143777797,1.005262169166532
2001-04-11,0.9686553696493798,1.0043574332142822
2001-04-12,0.9657049127202161,1.0203267164023893
2001-04-16,0.9626815548736957,1.0158372788502188
2001-04-17,0.9590626842362968,1.0272146563733413
2001-04-18,0.9563725108791387,1.0676869138344511
2001-04-19,0.9577897175995648,1.0837022175419677
2001-04-20,0.9595634982130375,1.074490748692861
2001-04-23,0.9606769466314437,1.0562244059650823
2001-04-24,0.9612691420995336,1.0442890701776768
2001-04-25,0.960610808256936,1.0620419843706972
2001-04-26,0.9602709921558359,1.0670335816972394
2001-04-27,0.9588634390335751,1.0829323820645282
2001-04-30,0.9589574908537717,1.0834738482555604
2001-05-01,0.9595818608506367,1.098425787361487
2001-05-02,0.9612966337404324,1.1021604350385161
2001-05-03,0.9626185144645195,1.0848565162084114
2001-05-04,0.9632563543950745,1.1006954213450542
2001-05-07,0.9639911888497225,1.0970631264546156
2001-05-08,0.9637826500677116,1.096185475953452
2001-05-09,0.9640578025692422,1.0909237856688754
2001-05-10,0.964804228043597,1.0899419542617734
2001-05-11,0.9654709495051848,1.0819853779956625
2001-05-14,0.968305547856887,1.0832837604492573
2001-05-15,0.9712317571053904,1.0840420590815718
2001-05-16,0.9737571422667317,1.1142868325299475
2001-05-17,0.9771366102939124,1.1201925527423564
2001-05-18,0.9819488836736,1.1227689956136637
2001-05-21,0.9845721397084439,1.1437647758316392
2001-05-22,0.9856021660985719,1.1420491286678918
2001-05-23,0.9881316548137261,1.1226342934805376
2001-05-24,0.9900074976962134,1.127461620942504
2001-05-25,0.9909688227185021,1.1158487662467962
2001-05-29,0.993201817711321,1.104132354201205
2001-05-30,0.9967523036593725,1.084920451238104
2001-05-31,0.998077763012552,1.092948862577266
2001-06-01,1.0011643646548467,1.098960081321441
2001-06-04,1.0032420636329753,1.1044548817280482
2001-06-05,1.0054981099302787,1.1205799230012776
2001-06-06,1.0077291998643738,1.1099344137327656
2001-06-07,1.0104674614059346,1.1160390530082958
2001-06-08,1.0125578414645926,1.1051018702888145
2001-06-11,1.0149398886710308,1.0943823821470129
2001-06-12,1.0178563390059896,1.094710696861657
2001-06-13,1.020726279315132,1.0832162345446095
2001-06-14,1.0225923402102357,1.0620935179709896
2001-06-15,1.0254710829921305,1.0573140971401203
2001-06-18,1.0275489141087988,1.0507587497378514
2001-06-19,1.0304830865920733,1.0530704189872746
2001-06-20,1.033327576589103,1.064443579512337
2001-06-21,1.0350183788155487,1.074981570949509
2001-06-22,1.0365907781219803,1.0642317552400138
2001-06-25,1.0369909032336744,1.0585913269372418
2001-06-26,1.0372653037440362,1.0583796086718544
2001-06-27,1.038263953179605,1.0561570114936436
2001-06-28,1.0399230914110298,1.07009828404536
2001-06-29,1.0451096132400362,1.0739506378679233
2001-07-02,1.0478823757527242,1.0800721565037705
2001-07-03,1.0489656988699574,1.077912012190763
2001-07-05,1.0494087310481521,1.0646536944408167
2001-07-06,1.0498377867763333,1.040379590207566
2001-07-09,1.0512452797121146,1.0466218677488115
2001-07-10,1.0521503003096357,1.0313411884796788
2001-07-11,1.051990364391198,1.0295879084592634
2001-07-12,1.051392637903865,1.0548128122165152
2001-07-13,1.0506952927741744,1.0605088014024846
2001-07-16,1.050691923365116,1.0483129501863562
2001-07-17,1.0522507745435963,1.0595298987533501
2001-07-18,1.0527225042051458,1.052219142451952
2001-07-19,1.0530648307311452,1.0574802381642117
2001-07-20,1.0530656590063823,1.0542020494259026
2001-07-23,1.0536740566916,1.0378619176598012
2001-07-24,1.0535046489521598,1.0203220512513504
2001-07-25,1.0536433373193714,1.034402495558619
2001-07-26,1.054372424697301,1.0468153255053225
