Date,FVOL,CRSP Market
2001-04-02,0.008035439068038663,-0.0159
2001-04-03,0.004844134916490914,-0.0366999999999999
2001-04-04,0.002952077764086267,-0.0036
2001-04-05,0.0019675187400015337,0.0469
2001-04-06,0.0021752953582919515,-0.0204999999999999
2001-04-09,0.0032551182855009454,0.0087
2001-04-10,0.0042027994613814835,0.0289
2001-04-11,0.004793691598204689,-0.0009
2001-04-12,0.0044361927657349315,0.0159
2001-04-16,0.0057661264971845495,-0.0044
2001-04-17,0.004339236255243685,0.0112
2001-04-18,0.0031163673860923305,0.0394
2001-04-19,0.002165476126018311,0.015
2001-04-20,0.0018053234748515523,-0.0085
2001-04-23,0.0021559747099340856,-0.017
2001-04-24,0.0027463422327641696,-0.0113
2001-04-25,0.0015373809822425669,0.017
2001-04-26,0.00012032321446235771,0.0047
2001-04-27,2.747693980020221e-05,0.0149
2001-04-30,9.563077047586454e-05,0.0005
2001-05-01,0.0016053557755776712,0.0138
2001-05-02,0.0010382476995221576,0.0034
2001-05-03,0.0013930195689836982,-0.0157
2001-05-04,0.0015905959485075674,0.0146
2001-05-07,0.0014643380271649033,-0.0033
2001-05-08,0.0008495558467250222,-0.0008
2001-05-09,0.0010271375031693532,-0.0048
2001-05-10,0.0007067505504280941,-0.0009
2001-05-11,0.00018377538130385522,-0.0073
2001-05-14,-0.0008170031585649796,0.0012
2001-05-15,-0.00038989222037433654,0.0006999999999999
2001-05-16,-0.00024728349866349645,0.0278999999999999
2001-05-17,0.0028294324894957232,0.0053
2001-05-18,0.0023769488411174897,0.0023
2001-05-21,0.0013309555984593194,0.0187
2001-05-22,0.0017312705845004958,-0.0015
2001-05-23,0.002797148595136146,-0.017
2001-05-24,0.00289009371137856,0.0043
2001-05-25,0.00283290193773841,-0.0103
2001-05-29,0.0014278695285810516,-0.0105
2001-05-30,0.0001774191523178536,-0.0174
2001-05-31,0.00017788556078115485,0.0074
2001-06-01,0.00043936805183402875,0.0055
2001-06-04,0.0011245007933947573,0.005
2001-06-05,-0.00018575924346116504,0.0146
2001-06-06,-0.0021072298737935635,-0.0095
2001-06-07,-0.0025099239030259082,0.0055
2001-06-08,-0.001096399215670233,-0.0098
2001-06-11,-0.0013170060546865757,-0.0097
2001-06-12,-0.0009828190210550251,0.0003
2001-06-13,-0.0010869362739631826,-0.0105
2001-06-14,-0.000245500212054789,-0.0195
2001-06-15,0.00017765889384964006,-0.0045
2001-06-18,-0.000829497411039956,-0.0062
2001-06-19,-0.0013893648335303991,0.0022
2001-06-20,-0.0015988560392639212,0.0108
2001-06-21,-0.0005572820884108007,0.0098999999999999
2001-06-22,0.0022466961801037174,-0.01
2001-06-25,0.0016526090790007384,-0.0053
2001-06-26,0.0028188000672193358,-0.0001999999999999
2001-06-27,0.002954193638597265,-0.0021
2001-06-28,0.002902574448843046,0.0132
2001-06-29,0.00026195246143826393,0.0036
2001-07-02,0.0014541717145301872,0.0057
2001-07-03,0.0003060273631095543,-0.002
2001-07-05,-0.000276684592053006,-0.0123
2001-07-06,-0.0006515016120790689,-0.0228
2001-07-09,0.0010834168660379586,0.006
2001-07-10,0.0004176776177143957,-0.0146
2001-07-11,-3.0447733677906814e-05,-0.0017
2001-07-12,0.0005886254404279804,0.0244999999999999
2001-07-13,0.0006080018880132149,0.0054
2001-07-16,0.0013238426361849049,-0.0115
2001-07-17,0.0011417537783152878,0.0107
2001-07-18,0.0010467415710565203,-0.0069
2001-07-19,0.00018451597000364208,0.005
2001-07-20,-0.0004654189760710662,-0.0031
2001-07-23,-0.0007764656430525083,-0.0155
2001-07-24,0.00022264702943149177,-0.0169
2001-07-25,-0.00042322457590951505,0.0138
2001-07-26,-0.0008450561957833668,0.012
2001-07-27,-0.0001163817432322149,0.0024
2001-07-30,3.093110360181892e-05,-0.001
2001-07-31,-0.00046295502027331333,0.0051
2001-08-01,-0.002252176950489841,0.0049
2001-08-02,-0.0019552403957233864,0.0034
2001-08-03,-0.003043688293834121,-0.0048
2001-08-06,-0.0015163526049829829,-0.0115
2001-08-07,-0.001657966086470623,0.0021
2001-08-08,-0.00108515446769021,-0.0171
2001-08-09,-0.0006562055145654597,-0.0005
2001-08-10,0.00315777937411571,0.0046
2001-08-13,1.541677245417736e-05,0.0023
2001-08-14,-7.33337565814544e-05,-0.0027999999999999
2001-08-15,0.0015379638760250028,-0.0073
2001-08-16,0.0010305887908616004,0.0022
2001-08-17,0.0009868471111398696,-0.0163
2001-08-20,0.00041329717393142246,0.0072
2001-08-21,0.0012908453727611185,-0.0121
2001-08-22,0.002233715109451578,0.0072
2001-08-23,0.001647343716535379,-0.003
2001-08-24,0.0018148119786341886,0.0186
2001-08-27,0.0018985419073811276,-0.0040999999999999
2001-08-28,0.0011887816307480416,-0.0144999999999999
2001-08-29,4.934280600278463e-05,-0.0096
2001-08-30,0.00026005005086699666,-0.016
2001-08-31,1.0184620391706645e-05,0.0041
2001-09-04,-0.0001297941022984562,-0.001
2001-09-05,0.0006173867902940022,-0.003
2001-09-06,0.000404583849641594,-0.0210999999999999
2001-09-07,0.00031821309729705244,-0.0181
2001-09-10,0.001281905629414294,0.0039
2001-09-17,-0.0011311687750907168,-0.0501
2001-09-18,-0.0038812654818285333,-0.008
2001-09-19,-0.003644494981956866,-0.0165
2001-09-20,-0.0027864787738979564,-0.0302999999999999
2001-09-21,-0.005167763746964991,-0.0194
2001-09-24,-0.0016399518116036352,0.0385
2001-09-25,-0.002649778209895301,0.0076
2001-09-26,-0.0021977395051513554,-0.0065
2001-09-27,-0.0011786018210515846,0.0112
