,FVOL,CRSP Market
2001-04-01,1.0,1.0
2001-04-02,1.0080354390680386,0.9841
2001-04-03,1.0129184987354884,0.94798353
2001-04-04,1.0159087129124371,0.944570789292
2001-04-05,1.0179075323432232,0.9888711593097947
2001-04-06,1.0201217818734998,0.968599300543944
2001-04-09,1.023442398939114,0.9770261144586763
2001-04-10,1.0277437221021304,1.005262169166532
2001-04-11,1.032670408547879,1.0043574332142822
2001-04-12,1.0372515335436678,1.0203267164023893
2001-04-16,1.0432324570954792,1.0158372788502188
2001-04-17,1.0477592891959548,1.0272146563733413
2001-04-18,1.0510244920732803,1.0676869138344511
2001-04-19,1.0533004605187255,1.0837022175419677
2001-04-20,1.055202008566172,1.074490748692861
2001-04-23,1.0574769974105123,1.0562244059650823
2001-04-24,1.0603811911486776,1.0442890701776768
2001-04-25,1.0620114010258772,1.0620419843706972
2001-04-26,1.0621391856514444,1.0670335816972394
2001-04-27,1.062168369985908,1.0829323820645282
2001-04-30,1.0622699459655047,1.0834738482555604
2001-05-01,1.063975267158483,1.098425787361487
2001-05-02,1.0650799370319588,1.1021604350385161
2001-05-03,1.0665636142267763,1.0848565162084114
2001-05-04,1.068260085990391,1.1006954213450542
2001-05-07,1.0698243798572091,1.0970631264546156
2001-05-08,1.0707332554140858,1.096185475953452
2001-05-09,1.0718330456966123,1.0909237856688754
2001-05-10,1.0725905642916254,1.0899419542617734
2001-05-11,1.072787680031561,1.0819853779956625
2001-05-14,1.0719112091085055,1.0832837604492573
2001-05-15,1.071493279267142,1.0840420590815718
2001-05-16,1.0712283166602505,1.1142868325299475
2001-05-17,1.074259284863077,1.1201925527423564
2001-05-18,1.076812744225292,1.1227689956136637
2001-05-21,1.078245934175711,1.1437647758316392
2001-05-22,1.0801126696444066,1.1420491286678918
2001-05-23,1.083133905280891,1.1226342934805376
2001-05-24,1.0862642637691242,1.127461620942504
2001-05-25,1.089341543906852,1.1158487662467962
2001-05-29,1.0908969815036138,1.104132354201205
2001-05-30,1.0910905275213383,1.084920451238104
2001-05-31,1.0912846167716894,1.092948862577266
2001-06-01,1.0917640923677567,1.098960081321441
2001-06-04,1.0929917819558241,1.1044548817280482
2001-06-05,1.0927887486292986,1.1205799230012776
2001-06-06,1.0904859915324416,1.1099344137327656
2001-06-07,1.0877489546763794,1.1160390530082958
2001-06-08,1.0865563475756261,1.1051018702888145
2001-06-11,1.0851253462871109,1.0943823821470129
2001-06-12,1.084058864456551,1.094710696861657
2001-06-13,1.0828805615536619,1.0832162345446095
2001-06-14,1.0826147141461704,1.0620935179709896
2001-06-15,1.0828070502787508,1.0573140971401203
2001-06-18,1.0819088646338888,1.0507587497378514
2001-06-19,1.0804056985042818,1.0530704189872746
2001-06-20,1.0786782853283732,1.064443579512337
2001-06-21,1.078077157240802,1.074981570949509
2001-06-22,1.0804992690718322,1.0642317552400138
2001-06-25,1.082284911973754,1.0585913269372418
2001-06-26,1.085335656756376,1.0583796086718544
2001-06-27,1.0885419484493086,1.0561570114936436
